DV19T8745BW,13440
W20WAN,2267730
W20VAN,2288900
T873MWW312,1000
LDL22EHWRSS,604080
TR14BK1,1
WA16T6262WW,376380
Z402MEE151,1501500
RP20A31A1Z1,571780
RP22A3531CW,1000
AU9982WD,40000
AU9982CD,43000
AU9982GD,40000
F24KDA,1
RQ58A9441AP,40320
KU58UA7000FXKR,22500
RH19VTAN,1
M873MGB031,1679000
RQ48A94Y1AP,8800
RT50T603HS8,195300
K335S14E,1148250
RQ48A9002S9,970
RZ24A5600AP,540000
WA16A6354BW,5910
55UQ9300KNA,8000
WW12T504DTW,593210
M873GTB031S,1826670
FX25WS,970
RS63R557EB4,970
65UQ9300KNA,8000
W20EEZM,1
F21VDA,1
S834S32V,1081370
WA14T6262BY,294990
S834S20Q,1002370
T873MEE012,1604600
T873MEE111,1000
DV17B8720BE,930
F15WQA,1
65UR342C9NC,8000
B602S52,1000
RS63R557EB4,970
RT62A7042SL,752380
K416W141,1045000
WF21A9400KW+DV17A9720BW,1
DF10A9500WG,1063690
K331W142,970
RS84T5041WW,47500
RZ21H4000WW,295520
RS84T5081SA,684000
F19VDU,970
FX25KS,970
M451S53,1000
KQ75QA65AFXKR,99000
T18MT,1
KU75UB8100FXKR,53500
K131LW121,430
WA30F1K6QSA,890
F17WDBP,1
RT60N6211SG,40320
DV17B8720BW,1
TR16MK,1
WA10T5262BW,1
RS82M6000S8,25900
KU55UA8070FXKR,115700
RS84T5041SA,41500
RS80T5190B4,970
T20HVD,7210
T15WUA,8600
KU70UA8070FXKR,17500
T20VVD,1
WF21B6400KV+DV17B8720BV,1887000
F24KDA+RH19KTAN,2107100
OLED55A1ENA,8000
M301S31,9990
M873GBB031S,1688860
B602S53,1000
RT38K5039SL,400420
T20MT,8600
T20BVD,1
AS9470IKT,6840
S834W30V,1066200
T20BVT,8600
F21VDA,1
55UQ9300KNA,8000
WA16A6374BV,1
TR16VK,8750
B502W33,1000
T16MU,8600
VS20A956A3W,13010
T16MU,8600
F15SQA,970
RS82M6000S8,25900
WA19A8370KY,42800
FS061PSSA,15000
RD20ES,1
S834S32V,1081370
RD20WS,1
27ART10AKPL,970
65UQ9300KNA,8000
RS84T5041WW,47500
F15WQA,1
